feature,p-value,effect_size,q-value,Cluster
ADGRF1,1.702520811599005e-23,0.6056734618255373,1.5217131014071908e-19,C1
SCEL,9.24728451294356e-23,0.5954164068285848,2.8063446823292965e-19,C1
MUC4,9.419371276558392e-23,0.5953036919385084,2.8063446823292965e-19,C1
F3,2.294094892442881e-22,0.589837019769803,4.2535203828469113e-19,C1
DAPP1,2.379458706000733e-22,0.5896115899896501,4.2535203828469113e-19,C1
TACSTD2,3.099807259775689e-22,0.5879772240835424,4.617679547979184e-19,C1
PHACTR3,8.397651438695864e-22,0.5817779051293404,1.0722601222723377e-18,C1
MUC16,4.583298955378736e-21,0.5710699905720823,5.120690757896893e-18,C1
C1orf116,6.759978682484276e-21,0.5685902629904015,6.483259442176405e-18,C1
STEAP4,7.253590783370335e-21,0.568139403430096,6.483259442176405e-18,C1
CST6,5.908472494413609e-20,0.5545572591758897,4.800902468642622e-17,C1
VGLL1,1.41423042136414e-19,0.5488087997819933,1.0533659588460568e-16,C1
EMP1,5.107537099182184e-19,0.5402424681361868,3.5116281994223355e-16,C1
LCN2,9.014285974584976e-19,0.5364101618735891,5.754977717202895e-16,C1
ARHGDIB,1.2991522616463399e-18,0.5339304342919083,7.741215276396658e-16,C1
INPP4B,1.3881701923893343e-18,0.5334795747316028,7.754665737234918e-16,C1
IFIT2,3.163912143755125e-18,0.5278438302277827,1.6634733376990181e-15,C1
HS3ST1,4.3526598099908095e-18,0.5256458898712929,2.1328534121118127e-15,C1
LAMA3,4.533924236979687e-18,0.5253641026461019,2.1328534121118127e-15,C1
WFDC2,9.115916555666005e-18,0.5205173623728168,4.073903108727136e-15,C1
CYSRT1,1.0044008166821416e-17,0.5198410730323583,4.2749211902404655e-15,C1
RASSF5,1.1154817407906409e-17,0.5191084262468618,4.531898090539432e-15,C1
DDX60L,1.1994002931397429e-17,0.5186012092415179,4.6609738348187046e-15,C1
CD274,1.4665990337131338e-17,0.517192273115563,5.461859234719996e-15,C1
GPR87,1.7638692410002394e-17,0.5158960518796843,6.161608898737431e-15,C1
LAMC2,1.7923677709462206e-17,0.515783336989608,6.161608898737431e-15,C1
STYK1,2.0373221351305306e-17,0.5148816178689967,6.744290831035809e-15,C1
UPK2,2.3152477142580986e-17,0.5139798987483856,7.390601453585317e-15,C1
MILR1,2.4288443255374077e-17,0.5136417540781563,7.485865717811499e-15,C1
TMEM265,2.60962440216172e-17,0.5131345370728125,7.774940968840485e-15,C1
PADI1,3.313516240102319e-17,0.5114438137216665,9.328907180423316e-15,C1
ADAM8,3.644854706965933e-17,0.5107675243812081,9.872033748745911e-15,C1
KRT7,3.97717988843248e-17,0.510147592485788,1.045530407141456e-14,C1
MAL2,7.134126573319327e-17,0.5059771415529611,1.8218520946379472e-14,C1
SAA2,9.38985413747504e-17,0.5040046309766241,2.255503864802257e-14,C1
ALDH1A3,9.688718046312604e-17,0.5037792011964713,2.255503864802257e-14,C1
FAM3C,9.84164810106154e-17,0.5036664863063949,2.255503864802257e-14,C1
ZBED2,1.1689253272254447e-16,0.5024266225155545,2.611963643685256e-14,C1
GPRC5A,1.6858285036711464e-16,0.4997778225987591,3.6751061380030995e-14,C1
HSH2D,2.483665730462384e-16,0.4969599503468491,5.28547721401733e-14,C1
FAM83A,4.7757943084197675e-16,0.492169567518602,9.701374892876334e-14,C1
FAM25A,4.962099313716005e-16,0.491887780293411,9.855831925776369e-14,C1
SLC37A2,5.915583460249481e-16,0.4905915590575325,1.1494235862545626e-13,C1
ARL14EPL,6.384463831675762e-16,0.4900279846071504,1.2141348452663396e-13,C1
ZNF185,8.083185994355381e-16,0.4882809038109662,1.5051565920322582e-13,C1
PRSS22,9.12693830122584e-16,0.487379184690355,1.664828051762379e-13,C1
IFIT3,9.99585353357376e-16,0.4867028953498967,1.7868587776616453e-13,C1
PLAU,1.2076180582768237e-15,0.4852939592239416,2.075709654784279e-13,C1
CASP4,1.1985320391838313e-15,0.4853503166689799,2.075709654784279e-13,C1
TGFA,1.2352851810746034e-15,0.485124886888827,2.083203575178265e-13,C1
ZEB1,1.858806288426586e-25,0.6322547695025875,4.153502651489207e-22,C2
LIX1L,1.153821838107319e-23,0.6080074967144085,3.8195776255567465e-21,C2
DYRK3,1.0867037219788212e-22,0.5944290239530282,2.36901411391383e-20,C2
STX2,2.686883144425123e-21,0.5744606816568808,3.531670815422316e-19,C2
CCDC88A,2.939650490999112e-20,0.5591135842921275,3.165613986572297e-18,C2
DENND5A,3.412210119138253e-20,0.5581436933806003,3.588039299395024e-18,C2
DLG4,4.6342356193405623e-20,0.5561468591509857,4.7069088597347666e-18,C2
KATNAL1,5.517419882354623e-20,0.5550058110197772,5.5409774054478216e-18,C2
CEP170,1.104706583808364e-19,0.5504416184949436,9.87386744607916e-18,C2
STARD9,1.507068790460223e-19,0.5483877318587683,1.3336812721914332e-17,C2
SACS,1.805465323781623e-19,0.5471896313209995,1.566723210093218e-17,C2
P3H1,2.018706567641882e-19,0.546447950035714,1.7349230097676102e-17,C2
CNTNAP1,6.219215569200508e-19,0.5389170323697384,5.04790290435388e-17,C2
DNAJB5,7.4909279257221e-19,0.5376618794254092,5.925125115053462e-17,C2
EMP3,9.811482344489616e-19,0.5358362024154758,7.692546420618261e-17,C2
EID2B,1.6786708480426314e-18,0.5321848483956088,1.2715220372716135e-16,C2
AP1M1,1.8098344712189317e-18,0.531671376736565,1.3593529835088074e-16,C2
IKBIP,2.051284952325257e-18,0.5308155906381586,1.5152384218085244e-16,C2
MAP3K12,4.2596691071105556e-18,0.5257949788608416,3.0458337983483313e-16,C2
SYDE1,6.7023343547581274e-18,0.5226570965000185,4.4374418120613443e-16,C2
UROD,8.572644297133464e-18,0.5209455243032058,5.473021051984209e-16,C2
CNPY4,9.692393078379124e-18,0.5200897382047994,6.058084568849833e-16,C2
TTL,2.1337671833663598e-17,0.5145556547684386,1.2147522984030906e-15,C2
SGTB,2.6755377692274627e-17,0.5129581873847469,1.485338918096588e-15,C2
PLEKHO1,3.3796434479303734e-17,0.5113036675944945,1.808817553149801e-15,C2
ARL3,6.162925282230207e-17,0.5070247371024631,3.0946194478973925e-15,C2
C1orf216,6.727831485683931e-17,0.5063971606302984,3.3222849623780657e-15,C2
ATP8B2,7.402416410686504e-17,0.5057125317515734,3.595804232538912e-15,C2
ECI2,1.1007672151263607e-16,0.5028599114235522,5.12430071291636e-15,C2
CHN1,1.2199551092579126e-16,0.5021182301382668,5.591773726434473e-15,C2
ST3GAL3,1.3625580356910183e-16,0.5013194964464208,6.150779658084001e-15,C2
OSBPL6,1.753136074329144e-16,0.4994938194364874,7.834765116176945e-15,C2
SLC35B4,1.9416594413057024e-16,0.4987521381512019,8.634105515617098e-15,C2
WDR35,2.167059917522213e-16,0.497953404459356,9.49469683471252e-15,C2
MAP3K3,2.475653254676656e-16,0.4969835135478289,1.0793848190390218e-14,C2
FERMT2,2.827477215112571e-16,0.4960136226363017,1.2208691472790415e-14,C2
PRPS1,4.652375484494198e-16,0.4923622686164348,1.934089864205077e-14,C2
MAD2L2,5.473962307069602e-16,0.491164168078666,2.234076488611328e-14,C2
MSRB3,5.689749183483504e-16,0.4908789060458637,2.3011302353835096e-14,C2
FBXO43,9.531964923223495e-16,0.4870563948063156,3.7203800211253984e-14,C2
KIAA1586,1.077567804951164e-15,0.4861435563013488,4.133605596846998e-14,C2
TUBB,2.3604632030976405e-15,0.4802671584256255,8.611355146647637e-14,C2
TUBA1A,2.3783943592132094e-15,0.480210106019065,8.641499505141328e-14,C2
CFL2,3.315282690209689e-15,0.4776998001304065,1.180557636856343e-13,C2
CD99L2,3.8245280824543705e-15,0.4766158044057585,1.3564933333721097e-13,C2
WDR54,5.200259519554054e-15,0.4742766557367812,1.8085571823258416e-13,C2
SPDL1,5.816852685247166e-15,0.4734208696383749,1.991993459798436e-13,C2
FAM216A,1.0156056885474503e-14,0.4691419391463434,3.3250855839696383e-13,C2
PPM1F,1.023146671373884e-14,0.4690848867397829,3.337549251364882e-13,C2
CCDC74B,1.134689226629968e-14,0.468286153047937,3.674584169427048e-13,C2
RNF43,2.686783058283799e-31,0.7055692211128491,2.40144669749406e-27,C3
MYB,1.0342515883286017e-30,0.6985621599975211,4.6220703482405205e-27,C3
PIP5K1B,2.8885428778367057e-30,0.6931761354088735,8.605932080701492e-27,C3
PRR15L,5.779361363895437e-30,0.6895157303486273,1.2913982967624352e-26,C3
GPA33,1.0755176324587443e-29,0.6862213657944061,1.893542177498415e-26,C3
GPR35,2.0551100523215276e-29,0.6827701267376026,2.6240819496642587e-26,C3
CDX2,5.448306568818786e-29,0.6775409766515369,4.5138282967514247e-26,C3
KCNE3,5.555170201864587e-29,0.6774363936498156,4.5138282967514247e-26,C3
KCNQ1,2.147927817256025e-28,0.6701155835293235,1.3712984879024535e-25,C3
SLC12A2,1.2664935677338858e-27,0.6603893643692413,6.658776181414983e-25,C3
ANKRD40CL,1.7468832285927337e-27,0.6586114533399788,8.674245720645475e-25,C3
C9orf152,3.441864005146702e-27,0.6548464652780116,1.6191252883158538e-24,C3
HEPH,4.075366357687549e-27,0.6539052182625198,1.821281225250565e-24,C3
PHGR1,6.2690788364775946e-27,0.6514998092229296,2.5469557563834886e-24,C3
POF1B,9.27651198210906e-27,0.6493035661867819,3.6049332215691654e-24,C3
EPS8L3,2.620826110376412e-26,0.6434469180903882,9.76039323939349e-24,C3
KDM7A,2.847797961261005e-26,0.6429762945826424,1.0157793767236807e-23,C3
TDGF1,2.954829245336282e-26,0.6427671285791997,1.0157793767236807e-23,C3
LGALS4,3.895320117694228e-26,0.6411983835533801,1.2434418289982505e-23,C3
FUT2,8.414724493784345e-26,0.6368058974810848,2.5934761215670508e-23,C3
FUT4,1.2231664689271635e-25,0.634661945945798,3.526665128797093e-23,C3
MUC13,1.2801450734984042e-25,0.6344004884414945,3.57560520841523e-23,C3
ASCL2,1.5637525289360797e-25,0.6332500754225602,4.066618662872587e-23,C3
HNF4A,1.5924329066965825e-25,0.6331454924208387,4.066618662872587e-23,C3
VIL1,1.6969809677815052e-25,0.6327794519148142,4.213226636119748e-23,C3
TMPRSS2,2.090760208052136e-25,0.6315767473950191,5.0505985782621604e-23,C3
CDH17,5.250193248272013e-25,0.6262430143072321,1.2250627804065545e-22,C3
CALML4,6.45478937753708e-25,0.625040309787437,1.4423226864106604e-22,C3
BTNL3,6.811707559467296e-25,0.624726560782273,1.4849522479638704e-22,C3
AXIN2,1.0374160983377924e-24,0.6222688602418222,2.0605389082095976e-22,C3
PIWIL4,1.0009948262784378e-24,0.6224780262452647,2.0605389082095976e-22,C3
MYO1A,1.3083249378682498e-24,0.620909281219445,2.4880443180141315e-22,C3
TSPAN8,1.6200754023674951e-24,0.6196542851987892,3.0167154054918065e-22,C3
EPCAM,1.952545427910412e-24,0.6185561636807154,3.5616022519720935e-22,C3
BCL2L14,2.4373851019482183e-24,0.617248876159199,4.357069608242634e-22,C3
CLRN3,3.929155037966085e-24,0.6144251351127235,6.88603680967468e-22,C3
ZNF703,5.4431546120346104e-24,0.6124903495808791,8.68766355756524e-22,C3
AOC1,5.588671958088858e-24,0.6123334750782972,8.76342981778916e-22,C3
CCNI2,8.819732954406145e-24,0.6096143170335431,1.3361147990929173e-21,C3
MISP3,1.3891111627858018e-23,0.6068951589887889,2.03538943819336e-21,C3
PPP1R1B,1.6678736461394538e-23,0.605797037470715,2.258705249877945e-21,C3
SYK,1.653423662752092e-23,0.6058493289715757,2.258705249877945e-21,C3
IL22RA1,1.6678736461394538e-23,0.605797037470715,2.258705249877945e-21,C3
ATP10B,1.851339912719411e-23,0.6051695394603871,2.4334229617479552e-21,C3
USH1C,2.2606144695962725e-23,0.6039668349405921,2.9283148013407946e-21,C3
GUCY2C,3.2804939368322693e-23,0.6017183004035838,4.072368723250948e-21,C3
EPB41L4B,3.425347645413168e-23,0.6014568428992805,4.193939349959301e-21,C3
TLDC2,3.702220233685389e-23,0.6009862193915346,4.4716816822540546e-21,C3
LRRC75A,4.5145444494927844e-23,0.5997835148717394,5.30934188020612e-21,C3
MUC3A,4.836598857445096e-23,0.5993651828648542,5.6142234529667876e-21,C3
TP63,5.683738237035768e-17,0.5076032776108504,4.046024798351206e-13,C4
NTF4,1.1793701475186826e-16,0.5023624340979549,4.046024798351206e-13,C4
FAT2,1.8107070030661024e-16,0.4992593030705824,4.046024798351206e-13,C4
HCAR2,1.8107070030661024e-16,0.4992593030705824,4.046024798351206e-13,C4
SERPINB13,2.7991375193732387e-16,0.4960872135759351,4.496699305116935e-13,C4
EFS,3.0185942974604624e-16,0.4955355458377356,4.496699305116935e-13,C4
ANKRD65,3.576277954417691e-16,0.4942942934267866,4.566396050940761e-13,C4
MARK1,4.2751704020864847e-16,0.4929840825485627,4.776434131731125e-13,C4
CSTA,6.573710672374085e-16,0.4898119930539153,6.528425109964397e-13,C4
CDH8,9.447458240786402e-16,0.4871226128301926,8.444138175614886e-13,C4
CAPNS2,1.3426742808303832e-15,0.4845021910737447,1.0569640525062489e-12,C4
DSG3,1.4190611579855658e-15,0.4840884402700952,1.0569640525062489e-12,C4
IRX4,1.5703814567938238e-15,0.4833298971300708,1.0796976508325536e-12,C4
TPRG1,2.4615540814483944e-15,0.4799509322335986,1.571526455713268e-12,C4
HOXD11,3.743284774613416e-15,0.4767788427389512,1.892818976087167e-12,C4
CLCA2,3.811897691829157e-15,0.4766409258044013,1.892818976087167e-12,C4
NKX1-2,3.2070989387027977e-15,0.4779511366826253,1.892818976087167e-12,C4
CRISPLD1,3.449274963269077e-15,0.4773994689444257,1.892818976087167e-12,C4
DLL1,5.7285447679479256e-15,0.4735377947770289,2.560086656795928e-12,C4
FOXE1,6.0470940828542055e-15,0.4731240439733793,2.5737584244071854e-12,C4
KRT6A,7.305472590199344e-15,0.4716759161606055,2.897279545941168e-12,C4
STON2,7.572844690821376e-15,0.4714000822915057,2.897279545941168e-12,C4
SLC52A1,7.779672085767291e-15,0.4711932068896809,2.897279545941168e-12,C4
TNNT3,1.083626352120616e-14,0.4686417436005081,3.874180934101626e-12,C4
KRT5,1.3068508252859782e-14,0.4671936157877343,4.492551029386951e-12,C4
PTHLH,1.4934176803056026e-14,0.4661592387786101,4.943765639470918e-12,C4
LY6K,1.9833679877507732e-14,0.463952567825812,6.331193955184434e-12,C4
SPARCL1,3.24847307740453e-14,0.4600908936584152,1.0012018057186787e-11,C4
SOST,3.8369497333104425e-14,0.4587806827801913,1.1431552238776244e-11,C4
SEMA4A,3.973591075423015e-14,0.4585048489110915,1.1456760332945453e-11,C4
HOXC13,4.3745107226606966e-14,0.4577463057710672,1.1804964037915824e-11,C4
ZNF385A,4.451563143055306e-14,0.4576083888365173,1.1804964037915824e-11,C4
DLK2,4.4905882444522045e-14,0.4575394303692424,1.1804964037915824e-11,C4
HAP1,4.69081633853738e-14,0.4571946380328676,1.1851149780569496e-11,C4
S1PR5,4.7733429413795237e-14,0.4570567210983177,1.1851149780569496e-11,C4
IRF6,6.196842355268947e-14,0.4549879670800695,1.4969561343619957e-11,C4
ZNF750,7.119003747221525e-14,0.4538846316036704,1.631529628017077e-11,C4
FEZ1,7.057612638179857e-14,0.4539535900709453,1.631529628017077e-11,C4
DLX5,9.96971897055363e-14,0.4511952513799476,2.2277337039702078e-11,C4
SOX15,1.1840333307085524e-13,0.4498160820344488,2.5811926609446438e-11,C4
BICD2,1.369837425626767e-13,0.4486437880907747,2.915144502440962e-11,C4
SLCO1A2,1.8471422406051139e-13,0.4462302417361518,3.8394784526810477e-11,C4
BNC1,2.0284519026001154e-13,0.4454716985961274,4.120523433054507e-11,C4
ARHGEF4,2.8961028206614093e-13,0.4425754429705799,5.3927847939732654e-11,C4
JAG2,2.8961028206614093e-13,0.4425754429705799,5.3927847939732654e-11,C4
LPAR3,2.7296486613837014e-13,0.4430581522415044,5.3927847939732654e-11,C4
HOXD10,2.847553001446561e-13,0.4427133599051298,5.3927847939732654e-11,C4
SVEP1,3.825081832385706e-13,0.4402998135505068,6.97726151384968e-11,C4
NGFR,3.922790949479834e-13,0.4400929381486819,7.012381101290149e-11,C4
DSC3,4.0911133472795073e-13,0.4397481458123072,7.151105628367466e-11,C4
TM4SF4,2.2382726005819105e-14,0.4630091249956507,1.4104407639899653e-10,C5
GAL3ST1,3.15605451776676e-14,0.4603176585656809,1.4104407639899653e-10,C5
PDZK1IP1,1.2505355860799049e-12,0.430480830713445,3.725762356127396e-09,C5
SMIM6,2.123662588591791e-12,0.4260206863437809,4.745324054208357e-09,C5
HOGA1,3.219958701548211e-12,0.4224833304643921,5.017649439495804e-09,C5
CFAP221,3.3683034948506186e-12,0.4220988352601107,5.017649439495804e-09,C5
IGFBP1,4.254530687753872e-12,0.4200994601978475,5.4271869540436125e-09,C5
CPEB2,4.909601007583525e-12,0.418869075544147,5.4271869540436125e-09,C5
SERPINA6,5.4648335854097666e-12,0.4179462870538717,5.4271869540436125e-09,C5
C4BPA,8.594716184167551e-12,0.4140244359702015,7.681957325408957e-09,C5
SERPINA3,9.555296765687553e-12,0.4131016474799262,7.764112953792303e-09,C5
CRP,1.255028329582622e-11,0.4107177772133815,9.137436073290688e-09,C5
RTN4,1.358023009101784e-11,0.410025685845675,9.137436073290688e-09,C5
NR1H4,1.4312385883426898e-11,0.4095642916005373,9.137436073290688e-09,C5
GUCA2B,4.255206424077625e-11,0.3998750124526463,2.535535667893721e-08,C5
CCL2,9.59770803429048e-11,0.3924927045304436,4.911941313730617e-08,C5
BICC1,1.0093369044461658e-10,0.3920313102853059,4.911941313730617e-08,C5
HSD3B7,1.116090816637952e-10,0.3911085217950306,4.911941313730617e-08,C5
PTGFR,1.12546943505468e-10,0.3910316227541743,4.911941313730617e-08,C5
VNN1,1.1540698991759115e-10,0.3908009256316055,4.911941313730617e-08,C5
NEURL3,1.2757459863759618e-10,0.3898781371413302,5.1830080119219775e-08,C5
UGT2A3,1.4944750995025523e-10,0.3884170553650609,5.6589725934323545e-08,C5
HAVCR1,1.519527212378345e-10,0.3882632572833483,5.6589725934323545e-08,C5
TRIM47,1.9006762748189547e-10,0.3861869831802288,6.795297817732726e-08,C5
WBP2,2.0643417104560915e-10,0.385417992771666,7.096571618483286e-08,C5
UGT2B7,3.5179799560746115e-10,0.3804195551160079,1.0653446360458883e-07,C5
SERPINA5,3.575781951373534e-10,0.3802657570342954,1.0653446360458883e-07,C5
CHST9,4.0398612386858047e-10,0.3791122714214512,1.1647832177862493e-07,C5
GLIS3,4.3460021826240106e-10,0.3784201800537447,1.2138927346341693e-07,C5
RBPMS,4.947099904014107e-10,0.3771897954000443,1.3399145133963056e-07,C5
TNFAIP6,5.234916838868553e-10,0.3766515021140503,1.3761672560531506e-07,C5
HEXIM1,5.674612218863073e-10,0.3758825117054875,1.449133828919947e-07,C5
RBKS,9.70179938978334e-10,0.3707302759681169,2.281965340681145e-07,C5
TMEM37,1.0256756710530634e-09,0.370191982682123,2.2918722869680705e-07,C5
ANXA13,1.250301870371797e-09,0.368269506660716,2.328166274454817e-07,C5
ACVR1,1.201843795035231e-09,0.3686540018649974,2.328166274454817e-07,C5
SLC23A1,1.2306942888580266e-09,0.3684233047424285,2.328166274454817e-07,C5
PLA2G4C,1.1552184490743896e-09,0.3690384970692788,2.328166274454817e-07,C5
SLC17A3,1.1191922877755002e-09,0.3693460932327039,2.328166274454817e-07,C5
RNF19A,1.1644001758145271e-09,0.3689615980284225,2.328166274454817e-07,C5
ITIH5,1.3213559614503527e-09,0.3677312133747221,2.410261139478215e-07,C5
FGA,1.396340559244813e-09,0.3671929200887281,2.496098383706028e-07,C5
DEFB1,1.452423973918466e-09,0.3668084248844467,2.545444211545735e-07,C5
KCNJ16,1.4871215185952063e-09,0.3665777277618778,2.556133102539222e-07,C5
CRYZ,2.115464371278569e-09,0.3631172709233454,3.00127310325204e-07,C5
FGL1,2.115464371278569e-09,0.3631172709233454,3.00127310325204e-07,C5
MMP7,2.050483875584949e-09,0.3634248670867705,3.00127310325204e-07,C5
MMP24,1.809463577314897e-09,0.3646552517404709,3.00127310325204e-07,C5
HNF1B,2.0187269900670973e-09,0.363578665168483,3.00127310325204e-07,C5
KLHDC7A,1.8524462361983386e-09,0.3644245546179021,3.00127310325204e-07,C5
APOA2,2.862383068765908e-10,0.382360716523564,1.553418204588058e-06,C6
F2,5.96906694978174e-10,0.3753993969188512,1.553418204588058e-06,C6
ASGR2,8.397927616353236e-10,0.3721234818107511,1.553418204588058e-06,C6
VTN,9.142080002893501e-10,0.3713045030337261,1.553418204588058e-06,C6
F7,1.0601964420615967e-09,0.3698712901739323,1.553418204588058e-06,C6
TTR,1.0828258453040071e-09,0.369666545479676,1.553418204588058e-06,C6
APOC1,1.3650055259513607e-09,0.3674143538428572,1.553418204588058e-06,C6
TF,1.547915785970522e-09,0.3661858856773196,1.553418204588058e-06,C6
AFP,1.5641937616124994e-09,0.3660835133301915,1.553418204588058e-06,C6
AGT,2.029917046351261e-09,0.3635242046519882,1.8143398560287573e-06,C6
FGA,3.2978208152879318e-09,0.3587127043369661,1.842245152940221e-06,C6
SLC2A2,3.2978208152879318e-09,0.3587127043369661,1.842245152940221e-06,C6
A1CF,3.165154120876553e-09,0.3591221937254786,1.842245152940221e-06,C6
APOE,3.132808112412743e-09,0.3592245660726068,1.842245152940221e-06,C6
ASGR1,3.0066124344515983e-09,0.3596340554611193,1.842245152940221e-06,C6
DUSP9,2.885371784551941e-09,0.3600435448496318,1.842245152940221e-06,C6
TRIM71,3.653616920596372e-09,0.3576889808656848,1.9209428256641394e-06,C6
HGD,6.386941326704784e-09,0.3520585017736377,3.1280862479872253e-06,C6
CPN1,6.649545615546797e-09,0.3516490123851252,3.1280862479872253e-06,C6
APOA1,7.2793774323837435e-09,0.350727661260972,3.1725814597532724e-06,C6
HPN,7.501934692160468e-09,0.3504205442195876,3.1725814597532724e-06,C6
PLA2G12B,7.808994418725889e-09,0.3500110548310751,3.1725814597532724e-06,C6
HABP2,1.0962297073780126e-08,0.3465303950287187,4.260043967193338e-06,C6
NAT8,1.2845172354323598e-08,0.3448924374746686,4.592406020117773e-06,C6
PDZK1,1.3362918152639364e-08,0.3444829480861561,4.593760094165024e-06,C6
APOB,1.3900915233124065e-08,0.3440734586976436,4.601717790876404e-06,C6
F10,1.4893461377302796e-08,0.3433568522677467,4.754205635369015e-06,C6
GLTPD2,1.5644221309898983e-08,0.3428449905321061,4.800357365628402e-06,C6
FGB,1.6112186279799962e-08,0.3425378734907217,4.800357365628402e-06,C6
SELENOP,1.866355706391987e-08,0.3410022882837997,5.054996152645933e-06,C6
APOC2,2.2463075126838163e-08,0.3390572136883653,5.736427585247985e-06,C6
LIPC,2.3353708849755306e-08,0.3386477242998527,5.79820693608647e-06,C6
APOH,2.6491368929573893e-08,0.3373168837871871,6.150056150389188e-06,C6
ADGRD1,2.7271547215096872e-08,0.3370097667458027,6.150056150389188e-06,C6
QPRT,2.75365268181704e-08,0.3369073943986745,6.150056150389188e-06,C6
GSTA2,2.8899346421609522e-08,0.3363955326630339,6.150056150389188e-06,C6
SULT1C4,2.8899346421609522e-08,0.3363955326630339,6.150056150389188e-06,C6
ITIH2,3.2131837477136654e-08,0.3352694368446244,6.527144622060168e-06,C6
SERPINF2,3.2131837477136654e-08,0.3352694368446244,6.527144622060168e-06,C6
ABCC6,3.53728914402746e-08,0.3342457133733432,7.025842304292764e-06,C6
C1orf115,3.675622135646778e-08,0.3338362239848306,7.141893619219762e-06,C6
SLC23A1,3.819195574087423e-08,0.3334267345963181,7.262972349190084e-06,C6
KLB,3.930429780176988e-08,0.3331196175549337,7.318787786504566e-06,C6
AMBP,4.4498309432995634e-08,0.3317887770422681,7.795703464387721e-06,C6
FGG,5.330399315525238e-08,0.3298437024468336,8.662383469484468e-06,C6
RGN,5.432363502204928e-08,0.3296389577525773,8.670440175483507e-06,C6
IGF2BP1,5.5888624221775226e-08,0.329331840711193,8.763728478846086e-06,C6
CEBPA,5.8043381912068175e-08,0.3289223513226804,8.811487661781746e-06,C6
HAVCR1,5.859452317848044e-08,0.3288199789755523,8.811487661781746e-06,C6
IGDCC3,6.87775020743587e-08,0.3270796490743741,9.915053444203516e-06,C6
