feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean,R3_mRNA_mean,R4_mRNA_mean
HIF1A,5.122944403583394,3.0080106324350576e-07,0.831051321523185,3.287426186442166e-05,0.6833302344388751,-2.0251797801217974,7.474987308714286,6.642377327529413
YBX1,5.034870860828379,4.78171081664315e-07,0.8167639062534454,3.287426186442166e-05,0.4285575738069235,-1.1812421022632176,9.497589621666668,8.935431461117645
SP1,4.829365927733343,1.369684999352145e-06,0.7834266039573864,6.233041137023077e-05,0.9696006253266357,-0.9732103003900489,4.11853388795238,4.362110800882354
NFIA,4.711934537393322,2.4537621012116707e-06,0.7643767169310669,8.434807222915118e-05,1.2649820872947797,-0.19418283269111844,2.388517156809524,1.9027180308823528
CEBPA,4.506429604298287,6.592754345128152e-06,0.731039414635008,0.0001648188586282038,0.8890805400084789,-1.211146015555936,2.403009175666667,2.3583842462352944
REL,4.418356061543271,9.945448036761365e-06,0.7167519993652683,0.0002103844777007212,1.054175469775362,-0.3987916297239478,1.5749843829523815,1.465949313235294
SP3,4.3009246712032505,1.7008687668483606e-05,0.697702112338949,0.000292336819302062,0.5198796383363126,-1.1181201511426513,5.476754030238096,4.929084126588235
ZNF207,4.18349328086323,2.8706357829599182e-05,0.6786522253126295,0.00041548675805998817,0.4325596702020966,-0.6572360672975369,6.9279004044761905,6.907130185588235
MBD4,4.0073461953531995,6.140482353950009e-05,0.6500773947731504,0.000734188107537501,0.6835404529291461,-0.8562701190403267,4.022966727857144,4.1954746795294104
RELA,3.977988347768194,6.950077677590152e-05,0.6453149230165706,0.0007645085445349166,1.0073202016545793,-0.844355148433982,5.729475168428571,5.26792927482353
TERF1,3.889914805013179,0.00010027942115263186,0.631027507746831,0.00106064772372976,0.10331756186446646,-0.8829170442661174,4.151269384619048,4.218743846529412
HNF1A,3.7431255670881534,0.0001817453485202112,0.6072151489639317,0.0017234472704502786,1.3141183926130886,-0.46614356410238567,2.197260968285714,0.7827347625882353
FOXO1,3.684409871918143,0.0002292331183769095,0.597690205450772,0.001969972111051566,0.15052111982970165,-0.9812749410198807,2.216182743095238,2.0613282621764704
RELB,3.684409871918143,0.0002292331183769095,0.597690205450772,0.001969972111051566,0.514654043037646,-0.47226045844066156,4.170970396904762,3.044484833235294
NFIC,3.6550520243331377,0.00025712983086824745,0.592927733694192,0.0021427485905687288,1.0028746391380474,-0.5256130828705082,4.920615538380952,3.222003774882354
LEF1,3.596336329163128,0.00032273048279706743,0.5834027901810325,0.002335549546557725,0.5273573053808978,-1.0049848853422325,1.7050917525714282,1.157423480647059
SREBF2,3.596336329163128,0.00032273048279706743,0.5834027901810325,0.002335549546557725,0.6699314914985819,0.09066499890352993,5.4109075026666655,5.317181826
FOXO4,3.5669784815781225,0.0003611211216823907,0.5786403184244525,0.002422153864942865,0.4754630907114913,-1.0485841380066996,2.1503511034285716,2.2264332037647057
HNF1B,3.5376206339931175,0.0004037497025950423,0.5738778466678728,0.0025234356412190146,1.0188014843281372,-1.3161721156210244,4.99454771552381,2.091031761
CTCF,3.3614735484830867,0.0007752778194260278,0.5453030161283936,0.004100026929656878,-0.1150516589409983,-1.1108919286587462,4.7374938902380945,4.59476506182353
ARNT,3.3614735484830867,0.0007752778194260278,0.5453030161283936,0.004100026929656878,0.33384628214745504,-0.6738664116366128,4.167844681809524,3.2729067859411765
TCF4,3.244042158143066,0.001178463026928288,0.5262531291020741,0.006001432081579244,0.6517835135753892,-0.44826477932130954,1.3363538682857143,0.6284840269411764
HOXA10,3.214684310558061,0.001305880506115224,0.5214906573454943,0.00608673117257096,0.3584855400413878,-0.8036863353888755,1.6024960461904765,2.552257209647059
MYBL2,3.214684310558061,0.001305880506115224,0.5214906573454943,0.00608673117257096,0.39600984602879724,-0.6877794720009276,4.917277345428571,4.572696002235294
FOXO3,3.0972529202180406,0.0019532314702037654,0.5024407703191749,0.008663526682355411,0.13039154830271937,-0.6511005207199888,3.5504246159999995,3.568921198058823
EPAS1,3.0091793774630253,0.002619544046004941,0.4881533550494353,0.010291065895019411,0.653545657785322,-0.7726708894501422,5.113109523285714,4.773229634882353
PROX1,2.97982152987802,0.002884163670021623,0.4833908832928554,0.01071817580075603,0.35512444500117313,-0.8194058780213949,1.4922814799523811,0.26319785958823533
ETV1,2.97982152987802,0.002884163670021623,0.4833908832928554,0.01071817580075603,0.25141527229977645,-0.5712721372303807,1.9549522813809526,1.7182332594705882
NFYA,2.97982152987802,0.002884163670021623,0.4833908832928554,0.01071817580075603,0.35512444500117313,-0.8194058780213949,4.060866178476191,3.66764002682353
TCF12,2.950463682293015,0.0031729734520823004,0.4786284115362756,0.011634235990968435,0.049914165563907834,-0.7185551200517035,4.461090535095238,4.055853678470589
TFCP2,2.9211058347080097,0.0034879131926011386,0.4738659397796957,0.012456832830718351,0.2106754204395073,-0.3962890299100821,3.868397452571429,3.6022213224117645
BATF,2.8330322919529944,0.00461087278262726,0.4595785245099562,0.015463292868567033,0.050166532291435875,-0.8574989585789607,1.4693490482857146,2.955006697588235
IRF7,2.744958749197979,0.006051850424024559,0.4452911092402166,0.018912032575076745,0.6059262976162448,0.04837017181843478,3.609254528619047,3.352790242352941
ZNF92,2.744958749197979,0.006051850424024559,0.4452911092402166,0.018912032575076745,0.24556483672627902,-0.9709413244884544,2.525047669619047,2.8297049462941177
ATF1,2.715600901612974,0.006615561375292524,0.4405286374836367,0.019992081079180705,0.5981663027221333,-0.37685963078653034,4.094879199095239,4.672999043764706
TCF7L2,2.715600901612974,0.006615561375292524,0.4405286374836367,0.019992081079180705,0.2599610621171385,-0.6413255619898663,3.356758765380952,3.187912803352941
NME2,2.6275273588579586,0.008600792527157316,0.42624122221389715,0.024637686926752726,-0.15968124438079845,-0.9475047344952697,10.339941327571427,9.889656019352943
ZNF175,2.5688116636879483,0.010204790207277364,0.41671627870073746,0.02806317307001275,-0.006938656807789336,-0.7738904246867612,1.6006899323333332,1.3557858937058824
EGR1,2.5394538161029434,0.011102570283904073,0.4119538069441576,0.029357757962246347,0.6107547669685645,-0.383354696847859,3.284739080857143,4.021016620294118
PAX8,2.422022425762923,0.015434398029080136,0.3929039199178382,0.038939995027495754,0.5508404055572332,-0.07170907046200636,3.535968969714285,1.808047653764706
NFKB1,2.333948883007907,0.019598398680493255,0.37861650464809854,0.048554591325546355,0.925514970393358,0.23786965896209042,3.816817881285714,3.6971937987058823
MAF,2.2752331878378973,0.022891944973866776,0.3690915611349389,0.053805853571054385,-0.15431873194384446,-0.8747646935095057,1.6997791090952383,0.2589338666470588
ETS1,2.2752331878378973,0.022891944973866776,0.3690915611349389,0.053805853571054385,0.2190246448301837,-0.6098235201966257,4.735007374619047,3.9307914384705884
STAT1,2.245875340252892,0.02471199381539165,0.364329089378359,0.057107548733047936,0.16955820754660533,-0.672714888597357,5.6215818817142855,5.303821148705882
ZBTB7A,2.245875340252892,0.02471199381539165,0.364329089378359,0.057107548733047936,1.3553388202754153,0.494087996719225,4.144167561809523,2.9120375092352937
ELK1,2.216517492667887,0.02665608122248182,0.3595666176217792,0.06108685280152084,-0.13376667696140018,-0.9949539799864574,4.115211399952381,3.8179880009999994
STAT3,2.0990861023278664,0.03580931132029435,0.3405167305954597,0.07941581139581408,0.8728344265303101,-0.02214358046862098,5.823600210190476,4.810891529588236
FOXJ2,2.069728254742861,0.038477799271505596,0.3357542588388798,0.08331806928869322,-0.14737892950095163,-1.0110280916116918,2.7671250167619057,2.742889454294118
