,feature,corr,p-value,q-value
ZNF304,ZNF304,0.36835957791618024,3.7108961595766744e-29,7.5454888578059045e-28
TRAPPC2B,TRAPPC2B,0.2607903263686271,6.715274935294623e-15,7.447850382781309e-14
SLFN11,SLFN11,0.22715221799923463,1.4212642459361863e-11,1.1559615866947648e-10
USP49,USP49,0.1485497585645163,1.1626320792477975e-05,5.065754059579689e-05
ZNF586,ZNF586,0.141142417878294,3.1330126661717024e-05,0.00012329920815256376
VAV1,VAV1,0.13968663041431423,3.7853768976107134e-05,0.0001399442368207597
TTC37,TTC37,0.13945271813249507,3.901513548418077e-05,0.00013999548614911924
HIVEP3,HIVEP3,0.13539608662415772,6.539348271726928e-05,0.00022794299690019577
SFMBT2,SFMBT2,0.13285177166257797,8.975111797585447e-05,0.00028814832613300646
FAM117A,FAM117A,0.1208110697327971,0.0003722583579949863,0.0010813218970330554
CARMIL2,CARMIL2,0.11693247325135457,0.0005732952116888522,0.0015895912687736357
C21orf58,C21orf58,0.09816042618320721,0.0038755721035032297,0.008877995781573287
SEMA6B,SEMA6B,0.08723296873439979,0.010308824359851924,0.02240097413235368
CCND3,CCND3,0.08549644006951318,0.011935755181570291,0.025106243657785784
ZNF709,ZNF709,0.07599748292015569,0.025492425287808197,0.05025264036069303
APOE,APOE,0.07030772490951104,0.0388112943144783,0.07284581394409773
RAB7B,RAB7B,0.06299247138046477,0.0642054363324828,0.11868277625095304
USP14,USP14,0.06209487936259948,0.06810256871900093,0.12400766244355392
FAM227A,FAM227A,0.0616696897339576,0.0700152974627772,0.12561568074204146
POLG2,POLG2,0.058651390570040096,0.08489227185014796,0.1500993792133051
ACBD7,ACBD7,0.050065542542759425,0.14145018210245153,0.23967947522915398
CCDC114,CCDC114,0.042675270035978305,0.21015238421705726,0.33734987992738136
CFAP45,CFAP45,0.03918203775836788,0.24994357545740228,0.3909373872538856
SLC4A3,SLC4A3,0.03751221218798785,0.2707135947991807,0.41215152072335187
ZBTB46,ZBTB46,0.03745318257643286,0.27146883140870454,0.41215152072335187
FOXK2,FOXK2,0.03728398286473818,0.27364158343107786,0.41215152072335187
PCNT,PCNT,0.036468844242464715,0.284275102474584,0.422945884169503
AKNA,AKNA,0.029786131666257834,0.38186976003981454,0.5480954202924397
TUBB2B,TUBB2B,0.028207501850492277,0.4076182499463367,0.5782491452727102
SUB1,SUB1,0.027684777588715292,0.41636678581004544,0.5838706651589143
TAF8,TAF8,0.025955009591807274,0.44609448817407377,0.6030025935366546
LAT2,LAT2,0.025465381635335474,0.45472326725714934,0.6030025935366546
HOXB2,HOXB2,0.02494984316385386,0.4639092575852773,0.6085691336064928
FRS3,FRS3,0.024288045467800473,0.47585105471842604,0.6110929334278734
RIBC2,RIBC2,0.023435457461733172,0.4914803897151266,0.62458966192964
ZBTB20,ZBTB20,0.022296747210336944,0.5127765947645055,0.6383545363394865
MFSD4B,MFSD4B,0.021294293435166266,0.5319142512167576,0.6554902893782265
TNPO1,TNPO1,0.01976398844272094,0.5618095105604224,0.6842138799436471
LTB4R2,LTB4R2,0.01867082053244575,0.5836499829015923,0.6913135719805268
CAPS,CAPS,0.016077324132090603,0.6369830140462945,0.7401135972728375
TFEB,TFEB,0.011848385916968008,0.7280069084618754,0.8223781743736001
FAM207A,FAM207A,0.00989140780177166,0.7715614914378215,0.8557318359583111
PRRC1,PRRC1,0.009373786605066185,0.7832093879521009,0.860824732704111
DOC2A,DOC2A,0.008079858307778943,0.8125339078861101,0.8797520952058596
INTS2,INTS2,0.007110797413274989,0.8346715508082041,0.8839755666555954
ESD,ESD,0.005071905298914948,0.881657723700035,0.9193354042000366
CEP131,CEP131,0.0046413582517490365,0.891638876559003,0.92186392322202
BYSL,BYSL,0.0019246519099475915,0.954950560169323,0.9628427135591521
AP3B1,AP3B1,0.0012806572829629449,0.9700153779647549,0.9700153779647549
MORN1,MORN1,-0.0031505986000804516,0.9263210776485722,0.9417597622760484
KIAA1958,KIAA1958,-0.003245162072905929,0.9241162164664009,0.9417597622760484
CDK5R1,CDK5R1,-0.006856585634588989,0.8405013584594185,0.8839755666555954
HSBP1,HSBP1,-0.007661955167399703,0.8220634332251475,0.8797520952058596
UBR2,UBR2,-0.007747158100806079,0.820118357409662,0.8797520952058596
CCDC57,CCDC57,-0.01044935034588377,0.759063639791041,0.8495941656376789
SYNE3,SYNE3,-0.012664005379537196,0.7101011726204257,0.8096480659784293
POLR2J2,POLR2J2,-0.013502829342302142,0.6918512938859906,0.7962816778687817
ALYREF,ALYREF,-0.01818630767952691,0.5934547727427373,0.6961680987943649
TEPSIN,TEPSIN,-0.018768842349444488,0.5816755748968457,0.6913135719805268
RTEL1,RTEL1,-0.019530588495325754,0.5664393596254784,0.6842138799436471
CAST,CAST,-0.02250972661267259,0.5087572770135733,0.6383545363394865
SBK1,SBK1,-0.024545762087377437,0.47118079658698736,0.6110929334278734
CHST6,CHST6,-0.02557246284137031,0.4528281808308404,0.6030025935366546
UBALD2,UBALD2,-0.02560996462729729,0.4521655413028997,0.6030025935366546
NES,NES,-0.02640036478805081,0.4383274217672707,0.6030025935366546
CBX2,CBX2,-0.031749779846560994,0.35126777745318044,0.5101746291581907
ITGA7,ITGA7,-0.03424541252240196,0.31468355107196255,0.4625469063949329
B3GNTL1,B3GNTL1,-0.04134415923301389,0.22473822951729974,0.3560787532611762
COL9A3,COL9A3,-0.044248872874449896,0.19380689180918356,0.31525921067627194
ATG2A,ATG2A,-0.045004625873881765,0.18629639812285329,0.30713730501335273
RPAP3,RPAP3,-0.04827418425928961,0.15626733679946558,0.2611591108155452
DNAH7,DNAH7,-0.057585882868585486,0.09071735533820523,0.15588052607409913
AGAP4,AGAP4,-0.057896146318690944,0.08898896009330251,0.15509504473404154
FIBCD1,FIBCD1,-0.07036069113546606,0.0386642469352584,0.07284581394409773
COX4I1,COX4I1,-0.0747550819405954,0.028003626783998543,0.0542292455182194
TOR2A,TOR2A,-0.07597389542889549,0.02553822706854892,0.05025264036069303
OTUD3,OTUD3,-0.07670765944307051,0.024146253439976586,0.049097381994619056
LRIG1,LRIG1,-0.08290149240258608,0.014790635550817553,0.030584026054232907
FZD7,FZD7,-0.0870549467399256,0.01046602889790295,0.02240097413235368
TBC1D16,TBC1D16,-0.09671488475184677,0.004435812908540852,0.009839439542581525
CFAP157,CFAP157,-0.09801303385627216,0.0039296046902045694,0.008877995781573287
TPPP3,TPPP3,-0.09986388208183616,0.0032982019881616412,0.007738089279917698
SHF,SHF,-0.10000767151789403,0.003253239222898757,0.007738089279917698
LHX4,LHX4,-0.10370067510576494,0.002273343770496143,0.005546958800010589
CCDC40,CCDC40,-0.104417424420715,0.0021178084154024513,0.005272910748553042
CBX8,CBX8,-0.10607926510368768,0.0017939492414405182,0.004559620988661317
NEK4,NEK4,-0.10835019873596634,0.0014246187741693288,0.003697946605290598
KCNQ4,KCNQ4,-0.10910410006074914,0.0013184076873274124,0.0034966464750857463
FOXP4,FOXP4,-0.11038074396907378,0.0011550411071357778,0.003131444779345886
SMIM15,SMIM15,-0.1194028718295842,0.0004360884402833298,0.0012372741794085171
AMOT,AMOT,-0.12640527353150888,0.00019522727890527316,0.0005809201957669105
RPGR,RPGR,-0.12866589071308646,0.0001492660743815842,0.00045526152686383185
PRR5L,PRR5L,-0.130035170433212,0.00012659530046903476,0.0003960160681339036
ARHGAP39,ARHGAP39,-0.1342819248145928,7.517077798843842e-05,0.00024786040309701315
RNF157,RNF157,-0.13439624148062998,7.410740910041556e-05,0.00024786040309701315
C1orf198,C1orf198,-0.1402141642154368,3.5353685681040963e-05,0.00013478592665896867
MROH6,MROH6,-0.1419056458336402,2.835125755713217e-05,0.00011529511406567082
HDAC4,HDAC4,-0.14199064318428395,2.8036671285212554e-05,0.00011529511406567082
C15orf62,C15orf62,-0.15495429686265424,4.744530568484035e-06,2.1438249235372307e-05
SLCO4A1,SLCO4A1,-0.15845762299343435,2.861167579219278e-06,1.3425478640951996e-05
MAPK15,MAPK15,-0.16569361366200802,9.72041292164533e-07,4.743561505762921e-06
KREMEN1,KREMEN1,-0.16705274738246173,7.89450174305778e-07,4.0130383860543715e-06
TMEM98,TMEM98,-0.16959148083674763,5.328284248560312e-07,2.8263072970624264e-06
LEMD1,LEMD1,-0.17010305298810638,4.918967936905202e-07,2.727791310465612e-06
ZC2HC1C,ZC2HC1C,-0.17604169767617478,1.911136755292952e-07,1.1102794483130483e-06
RAB40B,RAB40B,-0.1838779629782871,5.223166849370468e-08,3.186131778115986e-07
IL17RD,IL17RD,-0.19019912547601947,1.7597120466391045e-08,1.1299203667893197e-07
XYLB,XYLB,-0.2002315837072725,2.897729660811367e-09,1.964016770105482e-08
SLC16A5,SLC16A5,-0.20035431204770837,2.8328156209775716e-09,1.964016770105482e-08
USP54,USP54,-0.21757068650157846,1.022610854530393e-10,7.797407765794246e-10
SORBS1,SORBS1,-0.24352978193159058,3.9443028851036455e-13,3.4371782284474625e-12
ROCK2,ROCK2,-0.25442564115160926,3.125249095792693e-14,2.932926074513143e-13
PLCH1,PLCH1,-0.25473288276697303,2.904470481469244e-14,2.932926074513143e-13
ITPKA,ITPKA,-0.278775915527425,6.913598637442913e-17,8.434590337680355e-16
CLDN3,CLDN3,-0.298409434391427,3.1388320515493272e-19,4.254861225433533e-18
TNFRSF1B,TNFRSF1B,-0.30382916408447924,6.565386028967468e-20,1.0012213694175388e-18
TCF7,TCF7,-0.32558367577040925,8.76470872927199e-23,1.527563521387404e-21
ZNF703,ZNF703,-0.3866557219471102,3.411696549817378e-32,8.324539581554402e-31
ZNRF3,ZNRF3,-0.41441830275656016,3.4954340110034346e-37,1.0661073733560475e-35
BCL2L15,BCL2L15,-0.5232472872224802,6.798857606696536e-62,2.7648687600565914e-60
RNF43,RNF43,-0.5281490862551153,3.1283191481078525e-63,1.90827468034579e-61
AXIN2,AXIN2,-0.6331218990497289,5.645909141949266e-98,6.888009153178104e-96
